title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
His Dark Materials,Philip Pullman,"November 1, 2000",4.29,169043,1088,5928,"Fantasy, Fiction, Young Adult, Childrens, Science Fiction Fantasy, Science Fiction, Classics"
The Lightning Thief,Rick Riordan,"July 28, 2005",4.31,3478536,377,120996,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Percy Jackson, Adventure"
A Modern Declaration of Independence: Crimes Against Humanity and a New System,Jakub Lasak,"June 21, 2000",4.47,30,Kindle,4,"History, Philosophy, Banned Books"
Stoner,John  Williams,"April 23, 1965",4.35,262530,292,34759,"Fiction, Classics, Historical Fiction, Literature, Literary Fiction, Novels, Book Club"
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"September 16, 2014",4.15,404630,223,10424,"Business, Nonfiction, Entrepreneurship, Startup, Self Help, Economics, Technology"
White Nights,Fyodor Dostoyevsky,"January 1, 1848",4.07,374995,82,52956,"Classics, Fiction, Romance, Russian Literature, Short Stories, Russia, Literature"
The Battle of Chibi,Hock G. Tjoa,"August 4, 2010",4.09,45,332,31,"China, Classics, Adventure"
"Rabbit, Run",John Updike,"January 1, 1960",3.59,63892,325,4578,"Fiction, Classics, Literature, Novels, American, Literary Fiction, Book Club"
Mother Night,Kurt Vonnegut Jr.,"February 1, 1961",4.24,107192,282,5945,"Fiction, Classics, Historical Fiction, War, Literature, Novels, Humor"
Saint Joan,George Bernard Shaw,"January 1, 1923",3.78,9731,163,494,"Plays, Classics, Drama, Fiction, Historical Fiction, Theatre, Literature"
An Ideal Husband,Oscar Wilde,"April 1, 1893",4.01,44888,116,1963,"Classics, Plays, Fiction, Drama, Humor, Theatre, 19th Century"
Heartsick,Chelsea Cain,"September 4, 2007",3.93,43678,326,3362,"Mystery, Thriller, Fiction, Crime, Mystery Thriller, Horror, Suspense"
Bambi: A Life in the Woods,Felix Salten,"December 1, 1922",4.12,38303,192,1462,"Classics, Fiction, Childrens, Animals, Fantasy, Young Adult, Nature"
The Crimson Petal and the White,Michel Faber,"April 10, 2002",3.89,45286,922,3762,"Historical Fiction, Fiction, Historical, Victorian, Romance, British Literature, Literary Fiction"
Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,"January 1, 1995",4.06,137125,352,5304,"Psychology, Nonfiction, Self Help, Business, Personal Development, Leadership, Science"
Fablehaven,Brandon Mull,"June 7, 2006",4.14,179085,351,13626,"Fantasy, Young Adult, Middle Grade, Fiction, Childrens, Adventure, Magic"
An Inspector Calls,J.B. Priestley,"January 1, 1945",3.82,46788,117,2667,"Plays, Classics, School, Fiction, Mystery, Drama, Crime"
Johnny Got His Gun,Dalton Trumbo,"September 3, 1939",4.21,49313,309,3969,"Fiction, Classics, War, Historical Fiction, Horror, Literature, Novels"
Atonement,Ian McEwan,"September 20, 2001",3.95,568114,351,27466,"Fiction, Historical Fiction, Classics, Romance, Historical, Book Club, War"
Laddie: A True Blue Story,Gene Stratton-Porter,"January 1, 1913",4.26,4649,416,519,"Classics, Fiction, Historical Fiction, Romance, Young Adult, Book Club, Childrens"
Horton Hatches the Egg,Dr. Seuss,"June 19, 1940",4.19,50254,64,931,"Picture Books, Childrens, Fiction, Classics, Poetry, Animals, Fantasy"
Cody: Clicking Beat on the Brink of Nada,Keith Hale,"January 1, 1983",3.95,377,262,51,"LGBT, Young Adult, Gay, Fiction, M M Romance, Gay Fiction, Romance"
Angelique,Anne Golon,"January 1, 1956",4.19,3134,810,199,"Historical Fiction, Romance, Historical, Fiction, Historical Romance, France, Adventure"
