Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
11175115,AZ,Hakan Günday,"Günday, Hakan",,,9786050900682,2,4.06,,Paperback,357.0,2011.0,2011.0,2025-02-21,2025-02-21,,,read,,,,1,0,"Turkish Literature, Turkish, Fiction, Roman, Audiobook, Novels, Literary Fiction"
57301414,Bir Gün Kediler Dünyadan Yok Olsaydı,Genki Kawamura,"Kawamura, Genki",Deniz Topaktaş,6050981531,9786050981537,3,3.79,Dex Kitap,Paperback,184.0,2021.0,2012.0,2025-02-20,2025-02-20,,,read,,,,1,0,"Fiction, Fantasy, Magical Realism, Japan, Contemporary, Japanese Literature, Cats"
7258999,Ayaşlı ile Kiracıları,Memduh Şevket Esendal,"Esendal, Memduh Şevket",,9754940517,9789754940510,2,3.65,Bilgi Yayınevi,Paperback,256.0,1983.0,1934.0,2025-01-31,2025-01-31,,,read,,,,1,0,"Turkish Literature, Roman, Turkish, Audiobook, Fiction, Classics, Literature"
58581203,Gone Girl,Gillian Flynn,"Flynn, Gillian",,,,4,4.15,Crown,Kindle Edition,561.0,2021.0,2012.0,2025-01-31,2025-01-11,,,read,,,,1,0,"Fiction, Mystery, Thriller, Book Club, Mystery Thriller, Crime, Suspense"
10457185,"Yerdeniz Büyücüsü (Yerdeniz, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",Çiğdem Erkal İpek,9753420579,9789753420570,4,4.01,Metis Yayınları,Paperback,188.0,1994.0,1968.0,2025-01-31,2025-01-25,,,read,,,,1,0,"Fantasy, Fiction, Young Adult, Classics, Audiobook, Science Fiction Fantasy, Magic"
34876422,Denizi Yitiren Denizci,Yukio Mishima,"Mishima, Yukio",Seçkin Selvi,975073419,9789750734199,4,3.83,Can Yayınları,Paperback,152.0,2017.0,1963.0,2025-01-25,2025-01-25,,,read,,,,1,0,"Fiction, Japan, Classics, Japanese Literature, Literature, Novels, Literary Fiction"
55459652,İyi Hissetmek: İlaç Klavuzu İlaveli,David D. Burns,"Burns, David D.",,6056950484,9786056950483,3,4.06,Psikonet Yayıncılık,Paperback,632.0,2020.0,1980.0,2025-01-25,2025-01-04,,,read,,,,1,0,"Psychology, Self Help, Nonfiction, Mental Health, Health, Personal Development, Audiobook"
13561527,"Düş Hançeri (Zaman Çarkı, #11.2)",Robert Jordan,"Jordan, Robert",,9752733565,9789752733565,3,4.03,İthaki Yayınları,Paperback,616.0,2007.0,2005.0,2025-01-09,2025-01-09,,,read,,,,1,0,"Fantasy, Audiobook"
57720442,Yabancı,Albert Camus,"Camus, Albert",Ayça Sezen,9750748670,9789750748677,4,4.03,Can Yayınları,Paperback,112.0,2021.0,1942.0,2025-01-04,2025-01-04,,,read,,,,1,0,"Classics, Fiction, Philosophy, France, Literature, Novels, French Literature"
13561523,"Düş Hançeri (Zaman Çarkı, #11.1)",Robert Jordan,"Jordan, Robert",,9752733417,9789752733411,3,3.94,İthaki Yayınları,Paperback,608.0,2007.0,2005.0,2024-12-31,2024-12-31,,,read,,,,1,0,Fantasy
28358913,Monsieur ya da Karanlıklar Prensi (Avignon Beşlisi #1),Lawrence Durrell,"Durrell, Lawrence",Seçkin Selvi,9755104410,9789755104416,3,3.66,Can Yayınları,Paperback,344.0,1992.0,1974.0,2024-12-31,2024-12-31,,,read,,,,1,0,"Fiction, Literature, British Literature, France, Historical Fiction, Classics, 20th Century"
