Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
197427317,Kiraz Çiçeklerinin Altında,Ango Sakaguchi,"Sakaguchi, Ango",Edanur Adalıoğlu Şen,"=""6052652276""","=""9786052652275""",2,3.67,İthaki Yayınları,Paperback,80,2023,1947,2024/05/24,2024/05/18,,,read,,,,1,0
1532779,Pride and Prejudice,Jane Austen,"Austen, Jane",Peter Conrad,"=""0140238212""","=""9780140238211""",4,4.30,Penguin Books,Paperback,346,1995,1813,2024/05/24,2024/05/13,,,read,,,,1,0
141304911,Among Flowers (Picador Collection),Jamaica Kincaid,"Kincaid, Jamaica",,"=""1529077028""","=""9781529077025""",0,3.27,Picador  ,Paperback,192,2022,2005,,2024/03/17,to-read,to-read (#5),to-read,,,,0,0
186254260,Koş Melos!,Osamu Dazai,"Dazai, Osamu",Edanur Adalıoğlu Şen,"=""6052652012""","=""9786052652015""",2,3.81,İthaki Yayınları,Paperback,72,2023,1940,2024/05/14,2024/05/12,,,read,,,,1,0
14894462,Fedailerin Kalesi Alamut,Vladimir Bartol,"Bartol, Vladimir",Ender Nail,"=""6054188976""","=""9786054188970""",5,4.32,Koridor Yayıncılık,Paperback,510,1998,1938,2024/05/01,2024/04/29,,,read,,,,1,0
177466695,Çiçeğin Ruhu: Noh Tiyatrosunun Klasik Öğretileri,Zeami,"Zeami, Zeami","Naoki Yamamoto, Rümeysa Taşkın","=""6052651776""","=""9786052651773""",3,3.87,İthaki Yayınları,Paperback,80,2023,1424,2024/04/14,2024/04/08,,,read,,,,1,0
43758766,The Pit and the Pendulum,Edgar Allan Poe,"Poe, Edgar Allan",,"=""6052194782""","=""9786052194782""",0,4.14,Karbon Kitaplar,Paperback,59,2018,1842,,2024/03/17,to-read,to-read (#12),to-read,,,,0,0
1911378,King Arthur and His Knights of the Round Table (Puffin Classics),Roger Lancelyn Green,"Green, Roger Lancelyn","David Almond, Lotte Reiniger","=""0141321016""","=""9780141321011""",4,3.90,Puffin Books,Paperback,416,2008,1953,2024/04/05,2024/04/02,,,read,,,,1,0
58107511,At Night All Blood Is Black,David Diop,"Diop, David",,"=""1782277536""","=""9781782277538""",2,3.80,Pushkin Press,Paperback,145,2021,2018,2024/04/02,2024/03/17,,,read,,,,1,0
55190484,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4,4.15,Anchor Books,Paperback,325,2020,1985,2024/03/31,2024/03/18,,,read,,,,1,0
35425827,"Archenemies (Renegades, #2)",Marissa Meyer,"Meyer, Marissa",,"=""1250311446""","=""9781250311443""",0,4.24,Feiwel & Friends,ebook,560,2018,2018,,2024/03/17,to-read,to-read (#17),to-read,,,,0,0
28421168,"Renegades (Renegades, #1)",Marissa Meyer,"Meyer, Marissa",,"=""1250044669""","=""9781250044662""",0,4.11,Feiwel & Friends,Hardcover,552,2017,2017,,2024/03/17,to-read,to-read (#16),to-read,,,,0,0
25961799,Christine,Stephen  King,"King, Stephen",Gönül Suveren,"=""9754053782""","=""9789754053784""",0,3.86,Altın Kitaplar Yayınevi,Paperback,400,1993,1983,,2024/03/17,to-read,to-read (#15),to-read,,,,0,0
24832616,Sil Baştan,Ken Grimwood,"Grimwood, Ken",,"=""6054188232""","=""9786054188239""",0,4.15,Koridor Yayıncılık,Paperback,370,2010,1987,,2024/03/17,to-read,to-read (#14),to-read,,,,0,0
